,time [kyr],maxdiff,maxdiff_relief,diff_mean,diff_max_loc,maxdiff_perc
0,0.0,1.99326795248,1.99326795248,1.99643976509,2.0,0.999800285189
1,10.0,1.99388653342,1.99388653342,1.99502743892,2.0,0.497522429362
2,20.0,1.99513279476,1.99513279476,1.99351492694,2.0,0.331339180744
3,30.0,1.99524718066,1.99524718066,1.99184353369,2.0,0.248793404019
4,40.0,1.99527688757,1.99527688757,1.98997576781,2.0,0.199121268899
5,50.0,1.99530652296,1.99530652296,1.98815258998,2.0,0.165930226349
6,60.0,1.99533608467,1.99533608467,1.98615949116,2.0,0.142172106841
7,70.0,1.99536557061,1.99536557061,1.98421659516,2.0,0.124315532908
8,80.0,1.99539497875,1.99539497875,1.98228272885,2.0,0.110496525956
9,90.0,1.9954243071,1.9954243071,1.98025146177,2.0,0.106550406674
10,100.0,1.99545355374,1.99545355374,1.97830041093,2.0,0.0949406787581
11,110.0,1.99548271681,1.99548271681,1.97641394663,2.0,0.0854782636625
12,120.0,1.99551179447,1.99551179447,1.97453905248,2.0,0.0776185096598
13,130.0,1.99554078498,1.99554078498,1.97263049503,2.0,0.0729398049051
14,140.0,1.9955696866,1.9955696866,1.97067854991,2.0,0.0663885333435
15,150.0,1.99559849768,1.99559849768,1.96868650742,2.0,0.0636064270864
16,160.0,1.9956272166,1.9956272166,1.96668146375,2.0,0.0585863595146
17,170.0,1.99565584178,1.99565584178,1.96476115223,2.0,0.0553346753401
18,180.0,1.99568437172,1.99568437172,1.96278239276,2.0,0.05243195444
19,190.0,1.99571280494,1.99571280494,1.96084161284,2.0,0.0498179430784
20,200.0,1.99574113999,1.99574113999,1.95889955704,2.0,0.0474515009352
21,210.0,1.99576937552,1.99576937552,1.95693644755,2.0,0.0452989402394
22,220.0,1.99579751016,1.99579751016,1.9547011836,2.0,0.0473729064785
23,230.0,1.99582554262,1.99582554262,1.95271693293,2.0,0.0453394412769
24,240.0,1.99585347166,1.99585347166,1.95068660335,2.0,0.0426778839183
25,250.0,1.99588129605,1.99588129605,1.94861754861,2.0,0.0400721742678
26,260.0,1.99590901462,1.99590901462,1.94658897869,2.0,0.0383996702579
27,270.0,1.99593662624,1.99593662624,1.94451374721,2.0,0.0358798923468
28,280.0,1.99596412981,1.99596412981,1.94243145265,2.0,0.0343568188224
29,290.0,1.99599152428,1.99599152428,1.94015841871,2.0,0.0332107735681
30,300.0,1.99601880864,1.99601880864,1.93801007727,2.0,0.0322135223644
31,310.0,1.99604598189,1.99604598189,1.93585127916,2.0,0.0311750539993
32,320.0,1.9960730431,1.9960730431,1.93361932929,2.0,0.0302017010928
33,330.0,1.99609999135,1.99609999135,1.93140329449,2.0,0.029316295343
34,340.0,1.99612682578,1.99612682578,1.92919317452,2.0,0.0284813236167
35,350.0,1.99615354553,1.99615354553,1.92694164728,2.0,0.0276925956804
36,360.0,1.99618014981,1.99618014981,1.92472633275,2.0,0.0269463728853
37,370.0,1.99620663784,1.99620663784,1.922423427,2.0,0.0290739751536
38,380.0,1.99623300888,1.99623300888,1.92007963293,2.0,0.0315369605271
39,390.0,1.99625926222,1.99625926222,1.91776966217,2.0,0.0345592187265
40,400.0,1.99628539719,1.99628539719,1.91541752517,2.0,0.036954154983
41,410.0,1.99631141312,1.99631141312,1.91309076236,2.0,0.0375058710371
42,420.0,1.9963373094,1.9963373094,1.9107424757,2.0,0.0358827430858
43,430.0,1.99636308545,1.99636308545,1.90834199882,2.0,0.0355033905784
44,440.0,1.99638874071,1.99638874071,1.90595128646,2.0,0.0343692939676
45,450.0,1.99641427463,1.99641427463,1.90344629535,2.0,0.0331915718988
46,460.0,1.99643968671,1.99643968671,1.90100068232,2.0,0.0314072430176
47,470.0,1.99646497648,1.99646497648,1.89844425061,2.0,0.0271019645184
48,480.0,1.99649014349,1.99649014349,1.8958814562,2.0,0.030304005916
49,490.0,1.9965151873,1.9965151873,1.89327459378,2.0,0.0384857465438
50,500.0,1.99654010752,1.99654010752,1.89074557042,2.0,0.0442558278849
51,510.0,1.99656490376,1.99656490376,1.88807967499,2.0,0.0467687290798
52,520.0,1.99658957569,1.99658957569,1.88547651615,2.0,0.0410098880903
53,530.0,1.99661412296,1.99661412296,1.88282373969,2.0,0.0406527366803
54,540.0,1.99663854528,1.99663854528,1.88024849133,2.0,0.0388050183933
55,550.0,1.99666284235,1.99666284235,1.8775120238,2.0,0.0427997837585
56,560.0,1.99668701393,1.99668701393,1.87497418741,2.0,0.0401737557302
57,570.0,1.99671105978,1.99671105978,1.87231899929,2.0,0.0371823801231
58,580.0,1.99673497967,1.99673497967,1.86961434602,2.0,0.0351657045472
59,590.0,1.99675877341,1.99675877341,1.86694724293,2.0,0.0327732313361
60,600.0,1.99678899565,1.99678899565,1.86425252582,2.0,0.0316911937266
61,610.0,1.99694091695,1.99694091695,1.86158171902,2.0,0.0277533094345
62,620.0,1.99696503322,1.99696503322,1.85859246793,2.0,0.0244774619576
63,630.0,1.99698898023,1.99698898023,1.85573557769,2.0,0.027829716346
64,640.0,1.99731841804,1.99731841804,1.85302869297,2.0,0.027411417312
65,650.0,1.99739072914,1.99739072914,1.85009937183,2.0,0.0279234876479
66,660.0,1.99741018797,1.99741018797,1.84734344592,2.0,0.0313700636462
67,670.0,1.99742952008,1.99742952008,1.84453613277,2.0,0.0304623349529
68,680.0,1.99744872556,1.99744872556,1.8417785357,2.0,0.0300245708341
69,690.0,1.99746780454,1.99746780454,1.83851287744,2.0,0.0281140781245
70,700.0,1.99748675711,1.99748675711,1.83527019785,2.0,0.0328843667195
71,710.0,1.99750558336,1.99750558336,1.83239460653,2.0,0.0307391794391
