,time [kyr],maxdiff,maxdiff_relief,diff_mean,diff_max_loc,maxdiff_perc
0,0.0,1.99193146032,1.99193146032,1.99684506454,2.0,0.980842092922
1,10.0,1.99204295461,1.99204295461,1.99543518837,2.0,0.48695933191
2,20.0,1.99215238773,1.99215238773,1.99384083641,2.0,0.325426201296
3,30.0,1.99225983022,1.99225983022,1.99214569618,2.0,0.245523451463
4,40.0,1.9923643967,1.9923643967,1.99028145921,2.0,0.198718800245
5,50.0,1.99246682291,1.99246682291,1.98849253521,2.0,0.16466051486
6,60.0,1.99256670672,1.99256670672,1.98641997042,2.0,0.14137710664
7,70.0,1.992664294,1.992664294,1.98441793609,2.0,0.123861132655
8,80.0,1.99275959669,1.99275959669,1.98249542271,2.0,0.110205392671
9,90.0,1.9928526975,1.9928526975,1.98064370757,2.0,0.0992600405693
10,100.0,1.99294330187,1.99294330187,1.97850569454,2.0,0.0916635301531
11,110.0,1.99303178777,1.99303178777,1.97672215864,2.0,0.0828059361169
12,120.0,1.99311808121,1.99311808121,1.97472581853,2.0,0.0764651913744
13,130.0,1.99320119661,1.99320119661,1.97271467011,2.0,0.0710243881663
14,140.0,1.99328158541,1.99328158541,1.97073203678,2.0,0.0731761784878
15,150.0,1.99335843172,1.99335843172,1.96870106232,2.0,0.0671972670056
16,160.0,1.99343169106,1.99343169106,1.96673436496,2.0,0.0620466375118
17,170.0,1.99350068826,1.99350068826,1.96476216675,2.0,0.0575637726498
18,180.0,1.99356480303,1.99356480303,1.96275784345,2.0,0.0536266913897
19,190.0,1.99362305679,1.99362305679,1.96076215877,2.0,0.0501421482864
20,200.0,1.99367343761,1.99367343761,1.95877025576,2.0,0.0473707875379
21,210.0,1.99371529634,1.99371529634,1.95674966896,2.0,0.0452112650296
22,220.0,1.99374744364,1.99374744364,1.95467123778,2.0,0.0432353011172
23,230.0,1.99376801964,1.99376801964,1.95267518975,2.0,0.0414388117428
24,240.0,1.99377619843,1.99377619843,1.95010890556,2.0,0.0857353656118
25,250.0,1.99376926995,1.99376926995,1.94807204643,2.0,0.0733395776135
26,260.0,1.99374500917,1.99374500917,1.94591781679,2.0,0.0597313035724
27,270.0,1.99370115088,1.99370115088,1.94377438568,2.0,0.0491823246254
28,280.0,1.99363605318,1.99363605318,1.94165401134,2.0,0.0399005665746
29,290.0,1.99354588182,1.99354588182,1.93928870001,2.0,0.0348531007718
30,300.0,1.99319493617,1.99319493617,1.93706037377,2.0,0.03210290537
31,310.0,1.99282847957,1.99282847957,1.9349050615,2.0,0.031104346668
32,320.0,1.99240869422,1.99240869422,1.93266699638,2.0,0.0308895058053
33,330.0,1.99193132543,1.99193132543,1.93038524198,2.0,0.0296109556314
34,340.0,1.99138678664,1.99138678664,1.92754573118,2.0,0.0823916487719
35,350.0,1.9907749437,1.9907749437,1.92520713898,2.0,0.0730732928498
36,360.0,1.99262392964,1.99262392964,1.92285791577,2.0,0.063515866385
37,370.0,1.99544984369,1.99544984369,1.92044861055,2.0,0.054641721724
38,380.0,1.99551211993,1.99551211993,1.91800021278,2.0,0.0545763319743
39,390.0,1.99557354081,1.99557354081,1.91553965,2.0,0.0422047648571
40,400.0,1.99563411811,1.99563411811,1.91303792524,2.0,0.034954747241
41,410.0,1.99569386344,1.99569386344,1.91043204686,2.0,0.0321426139481
