,time [kyr],maxdiff,maxdiff_relief,diff_mean,diff_max_loc,maxdiff_perc
0,0.0,1.9986754889,1.9986754889,1.99800698989,2.0,0.880314497901
1,10.0,1.99867864335,1.99867864335,1.99656190549,2.0,0.466145142006
2,20.0,1.99868015704,1.99868015704,1.99491322913,2.0,0.317893752975
3,30.0,1.99868006815,1.99868006815,1.9931484835,2.0,0.241202604789
4,40.0,1.99867803393,1.99867803393,1.9915029887,2.0,0.194326600306
5,50.0,1.99867372293,1.99867372293,1.98960013044,2.0,0.162666695726
6,60.0,1.99851180022,1.99851180022,1.98784388889,2.0,0.139851938683
7,70.0,1.99836619203,1.99836619203,1.98615782932,2.0,0.122620018259
8,80.0,1.99818393404,1.99818393404,1.98443679752,2.0,0.109152791406
9,90.0,1.99796218662,1.99796218662,1.98262180149,2.0,0.0984109603763
10,100.0,1.99769827545,1.99769827545,1.98079813286,2.0,0.0895939351721
11,110.0,1.99738930254,1.99738930254,1.97886214969,2.0,0.0822269033261
12,120.0,1.99697705549,1.99697705549,1.97682521635,2.0,0.0759793561529
13,130.0,1.99650522508,1.99650522508,1.97490037572,2.0,0.0706141393127
14,140.0,1.99603939548,1.99603939548,1.97305252,2.0,0.0659566661038
15,150.0,1.9955119846,1.9955119846,1.97096966544,2.0,0.0618755604249
16,160.0,1.99492104656,1.99492104656,1.96915327139,2.0,0.0582700673515
17,170.0,1.99426489511,1.99426489511,1.96734649898,2.0,0.0550616228779
18,180.0,1.99354197895,1.99354197895,1.9654752575,2.0,0.0521880634116
19,190.0,1.99275087323,1.99275087323,1.96361117868,2.0,0.0495995585071
20,200.0,1.99189027697,1.99189027697,1.96170325287,2.0,0.0472556968084
21,210.0,1.9909590081,1.9909590081,1.95975856484,2.0,0.0451233609447
22,220.0,1.99800542978,1.99800542978,1.95778328835,2.0,0.0431751529349
23,230.0,1.99780320626,1.99780320626,1.95583860658,2.0,0.0413882106121
24,240.0,1.99755325952,1.99755325952,1.95395128809,2.0,0.0397433062813
25,250.0,1.99727655668,1.99727655668,1.95197923014,2.0,0.0382241520971
26,260.0,1.99697181792,1.99697181792,1.95002602711,2.0,0.0368168588834
27,270.0,1.99760667758,1.99760667758,1.94795379797,2.0,0.0355095102553
28,280.0,1.99888492767,1.99888492767,1.9459549428,2.0,0.0342918243663
29,290.0,1.99888687126,1.99888687126,1.943945143,2.0,0.0331548829435
30,300.0,1.99888885375,1.99888885375,1.94196053461,2.0,0.0320909124962
31,310.0,1.99889087281,1.99889087281,1.94000221957,2.0,0.0310931063413
32,320.0,1.99889292681,1.99889292681,1.93791818307,2.0,0.0301554788313
33,330.0,1.99889501354,1.99889501354,1.93579435767,2.0,0.0292727451836
34,340.0,1.99889713085,1.99889713085,1.93370135995,2.0,0.0284402218173
35,350.0,1.99889927667,1.99889927667,1.93162946294,2.0,0.0276537432259
36,360.0,1.99890144898,1.99890144898,1.929588363,2.0,0.0269095922709
37,370.0,1.99890364578,1.99890364578,1.92747789337,2.0,0.0262044414362
38,380.0,1.99890586514,1.99890586514,1.92536016516,2.0,0.025535303082
39,390.0,1.99890810516,1.99890810516,1.92325365501,2.0,0.0248994871315
40,400.0,1.99891036394,1.99891036394,1.92116534183,2.0,0.0242945649248
41,410.0,1.9989036908,1.9989036908,1.91903268482,2.0,0.0237183382171
42,420.0,1.998897116,1.998897116,1.91683047334,2.0,0.0231688124865
43,430.0,1.99889074574,1.99889074574,1.91458959231,2.0,0.0226441738682
44,440.0,1.99888456376,1.99888456376,1.912346274,2.0,0.0221427691536
